,Primary Zip,Line Of Business,Is Importer,Is Exporter,"Revenue (US Dollars, million)",Contact Title
0,75154,"Aircraft, nsk",Yes,No,1375.553198,V Pres
1,75109,Mattresses and bedsprings,Yes,No,280.855406,President
2,75212,"Metal doors, sash, and trim, nsk",No,No,107.230739,Chief Financial Officer
3,75137,"Bread, cake, and related products",Yes,No,93.296769,Cfo
4,75212,Sausages and other prepared meats,Yes,No,81.768596,Chief Financial Officer
5,75237,"Construction materials, nec, nsk",Yes,No,79.177044,Pres
6,75236,Upholstered household furniture,Yes,Yes,76.489996,
7,75208,"Industrial supplies, nsk",Yes,No,62.488032,Cuttingtool Spcl
8,75237,"Valves and pipe fittings, nec",Yes,Yes,60,Cio
9,75115,"Nonresidential construction, nec, nsk",No,No,57.451134,Chief Operating Officer
10,75236,Sausages and other prepared meats,Yes,No,55.203335,Ptnr
11,75237,"Auto and home supply stores, nsk",Yes,Yes,52.905952,Chief Technology Officer
12,75115,Plastics foam products,Yes,Yes,50.184427,Pres
13,75237,Instruments to measure electricity,No,Yes,50.106165,Cfo
14,75236,Upholstered household furniture,No,No,48.63163,Pres
15,75134,"Plastics products, nec, nsk",Yes,No,48.613733,Vice President Operations
16,75212,"Plastics products, nec, nsk",Yes,No,46.952291,Cfo
17,75236,"Leather goods, nec, nsk",Yes,Yes,41.894426,Pres; Ceo
18,75237,Instruments to measure electricity,No,Yes,35.589458,President
19,75233,Wood kitchen cabinets,No,No,35.229398,Sr V Pres
20,75211,"Malt beverages, nsk",No,No,34.980851,
21,75212,Motor vehicle parts and accessories,Yes,No,33.727206,Human Resources Manager
22,75212,"Plastics products, nec, nsk",Yes,No,30.903972,Pres
23,75110,Gray and ductile iron foundries,No,No,30.633596,Vice President Sales And Service
24,75212,"Poultry slaughtering and processing, nsk",No,No,30,Plant Manager
25,75212,"Commercial printing, nec",Yes,No,30,Cfo-treas
26,75110,Gray and ductile iron foundries,No,No,28.91946,
27,75208,"Commercial printing, lithographic",No,No,24.524534,Cfo
28,75212,"Concrete products, nec",No,No,20.811974,Manager
29,75237,Instruments to measure electricity,No,No,20.330103,
30,75236,Wood kitchen cabinets,Yes,No,19.840417,Human Resources Human Resources Manager
31,75212,"Blast furnaces and steel mills, nsk",No,No,19.178791,Director Sales Marketing
32,75208,"Special trade contractors, nec, nsk",No,No,18.615993,Cfo
33,75116,"Food preparations, nec, nsk",No,No,18.375916,Operations Manager
34,75212,"Industrial machinery, nec, nsk",No,No,18.20278,
35,75236,"Toys and hobby goods and supplies, nsk",Yes,No,17.862036,President
36,75237,"Refrigeration and heating equipment, nsk",Yes,No,15.310254,President
37,75104,"Wood household furniture, nsk",No,No,14.949292,Vice President
38,75212,"Poultry slaughtering and processing, nsk",No,No,14.604037,V Pres
39,75104,"Wood household furniture, nsk",No,No,14,
40,75236,"Industrial machinery, nec, nsk",Yes,No,13.174877,Finance Executive Sales Executive
41,75065,"Conveyors and conveying equipment, nsk",Yes,No,12.98297,President
42,75212,Drapery hardware and blinds and shades,Yes,Yes,12.897374,
43,75134,Fabricated structural metal,No,No,12.131499,V Pres
44,75208,"Industrial machinery, nec, nsk",No,No,11.6,Pres
45,75104,"Book publishing, nsk",Yes,No,11.5,Treas- V Pres
46,75116,"Paper; coated and laminated packaging, ns",No,No,11.488192,V Pres
47,75134,Wood kitchen cabinets,No,No,11.244939,President
48,75208,"Industrial machinery, nec, nsk",No,No,10.905304,
49,75237,"Industrial machinery, nec, nsk",No,No,10.866537,Office Manager
50,75212,"Hardware, nec",Yes,No,10.758585,Cfo
51,75104,Welding repair,No,No,10.681976,
52,75211,"Commercial printing, nec",No,No,10.076437,Data Processing Manager
53,75104,"Industrial machinery, nec, nsk",No,No,10,Accnt
54,75208,Fabricated plate work (boiler shop),No,No,9.120229,
55,75224,"Refrigeration and heating equipment, nsk",No,No,9.116986,Coo
56,75211,"Wood pallets and skids, nsk",Yes,No,9.070543,
57,75237,"Sheet metalwork, nsk",No,No,9,Acct
58,75236,"Bread, cake, and related products",Yes,No,8.807308,National Account Executive
59,75110,"Tires and inner tubes, nsk",Yes,No,8.428586,Vice President
60,75134,"Concrete block and brick, nsk",Yes,No,7.925389,Controller
61,75110,"Manufacturing industries, nec, nsk",Yes,Yes,7.726123,V Pres
62,75211,Household audio and video equipment,No,No,7.499763,Lighting Director At Freeman Av
63,75236,"Laminated plastics plate and sheet, nsk",Yes,No,7.456304,Pres
64,75212,"Fabricated metal products, nec, nsk",No,No,7.295223,Mbr
65,75115,Homefurnishings,Yes,Yes,7,V Pres
66,75104,Fabricated structural metal,No,No,6.861027,President
67,75237,"Converted paper products, nec, nsk",No,No,6.781517,V Pres-offc Mgr
68,75115,"Measuring and controlling devices, nec, n",Yes,Yes,6.74602,
69,75232,"Die-cut paper and board, nsk",No,No,6.732806,V Pres
70,75137,Printed circuit boards,No,No,6.619135,Vice President Of Sales
71,75115,Wood partitions and fixtures,No,No,6.522477,
72,75212,Fabricated structural metal,No,No,6.336384,V Pres
73,75212,"Sheet metalwork, nsk",No,No,6.008337,Ptnr
74,75212,"Direct mail advertising services, nsk",No,No,6,Owner
75,75115,Cut stone and stone products,No,No,5.873158,Sec/treas
76,75212,"Public building and related furniture, ns",No,No,5.764978,Pres; Ceo
77,75208,"Special industry machinery, nec, nsk",No,No,5.28496,Treas
78,75110,"Repair services, nec, nsk",No,No,5.218187,Gen Mgr
79,75104,Asphalt felts and coatings,No,No,5.2,Cfo
80,75212,"Farm machinery and equipment, nsk",No,No,4.880535,Dir
81,75104,"Millwork, nsk",No,No,4.850752,Plant Production Manager
82,75109,Plating and polishing,No,No,4.729262,Controller
83,75237,Plating and polishing,No,No,4.465225,Bookkeeper
84,75237,"Pickles, sauces, and salad dressings",No,No,4.458303,Chief Financial Officer
85,75212,Architectural metalwork,Yes,No,4.200173,Office Manager
86,75236,Wood partitions and fixtures,Yes,No,4.130146,General Manager
87,75212,Fabricated plate work (boiler shop),No,No,4,Owner
88,75237,"Fiber cans, drums, and similar products",Yes,No,3.958161,Offc Mgr
